11043,11035,11027,11020,11014,11009,11004,11001,10999,10997,10996,10997,10998,11001,11004
11031,11021,11013,11005,10998,10991,10986,10982,10979,10977,10976,10976,10978,10982,10986
11016,11005,10996,10987,10978,10970,10963,10958,10953,10951,10950,10951,10954,10958,10964
11000,10988,10976,10965,10955,10945,10937,10930,10928,10923,10924,10924,10929,10935,10941
10983,10969,10956,10943,10930,10919,10911,10904,10900,10898,10899,10901,10906,10913,10922
10968,10952,10936,10921,10907,10895,10887,10880,10877,10876,10877,10881,10887,10896,10907
10953,10935,10918,10902,10888,10877,10869,10862,10860,10858,10860,10865,10872,10883,10896
10943,10924,10904,10887,10874,10863,10855,10849,10847,10846,10848,10854,10863,10875,10890
10933,10913,10895,10880,10866,10857,10849,10843,10839,10839,10842,10849,10859,10873,10890
10931,10911,10892,10875,10863,10854,10846,10840,10837,10838,10842,10850,10862,10877,10896
10931,10912,10894,10878,10865,10856,10849,10843,10841,10842,10848,10857,10869,10886,10906
10936,10918,10900,10884,10871,10862,10856,10851,10851,10852,10860,10868,10883,10900,10921
10943,10926,10910,10895,10883,10873,10868,10864,10865,10866,10876,10885,10902,10919,10941
10952,10938,10924,10911,10900,10891,10885,10882,10884,10887,10897,10906,10924,10942,10964
10964,10952,10940,10929,10920,10912,10908,10906,10907,10912,10922,10933,10950,10969,10991
