,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,label
40,0.422154,0.416615,0.411077,0.405538,0.4,0.395077,0.390154,0.386462,0.383385,0.382154,0.382154,0.384,0.388308,0.394462,0.403077,100,32,CL
41,0.424,0.419077,0.413538,0.408615,0.403077,0.398769,0.395077,0.391385,0.388923,0.387692,0.387692,0.389538,0.393846,0.4,0.408615,100,32,CL
42,0.427077,0.423385,0.419077,0.414769,0.409846,0.405538,0.401846,0.398769,0.396923,0.395692,0.396308,0.398154,0.402462,0.408615,0.417846,100,32,CL
43,0.432615,0.428923,0.426462,0.422769,0.419692,0.416,0.412923,0.410462,0.408615,0.408,0.408,0.410462,0.414154,0.420308,0.428923,100,32,CL
44,0.436923,0.435692,0.433846,0.432615,0.430154,0.428308,0.425846,0.424,0.422769,0.422154,0.423385,0.425846,0.429538,0.435077,0.443077,100,32,CL
45,0.248615,0.243692,0.24,0.237538,0.235692,0.234462,0.234462,0.235692,0.237538,0.240615,0.244308,0.248615,0.253538,0.260308,0.267692,31,29,CL
46,0.246154,0.24,0.235077,0.231385,0.228308,0.227077,0.226462,0.227077,0.228308,0.231385,0.235077,0.239385,0.244923,0.251692,0.259692,31,29,CL
47,0.243692,0.236308,0.230154,0.225231,0.221538,0.218462,0.217231,0.217231,0.218462,0.221538,0.225231,0.230154,0.236308,0.243692,0.251692,31,29,CL
48,0.241231,0.232615,0.225231,0.219692,0.214769,0.211077,0.208615,0.208,0.208615,0.210462,0.214154,0.219077,0.225846,0.234462,0.243692,31,29,CL
49,0.24,0.229538,0.221538,0.214154,0.208615,0.203692,0.200615,0.198769,0.198769,0.200615,0.203692,0.209231,0.216,0.224615,0.235077,31,29,CL
50,0.239385,0.227692,0.217846,0.209846,0.203077,0.196923,0.192615,0.190154,0.188923,0.190154,0.193231,0.198769,0.206154,0.215385,0.226462,31,29,CL
51,0.24,0.227077,0.216,0.206769,0.198154,0.191385,0.185846,0.182769,0.180923,0.181538,0.184,0.189538,0.196923,0.207385,0.219077,31,29,CL
52,0.243077,0.228308,0.216,0.204923,0.195692,0.187692,0.181538,0.177231,0.175385,0.175385,0.177846,0.182154,0.189538,0.2,0.212923,31,29,CL
53,0.248615,0.232,0.217846,0.205538,0.195077,0.186462,0.179077,0.174769,0.172308,0.171692,0.173538,0.177846,0.185846,0.195692,0.209231,31,29,CL
54,0.257231,0.238154,0.222769,0.209231,0.197538,0.187692,0.179692,0.174769,0.171077,0.170462,0.172308,0.176615,0.184615,0.195077,0.208615,31,29,CL
55,0.268923,0.248,0.229538,0.214769,0.201846,0.191385,0.183385,0.177231,0.173538,0.172308,0.173538,0.178462,0.186462,0.197538,0.212308,31,29,CL
56,0.283692,0.260308,0.240615,0.224,0.209846,0.198154,0.189538,0.182769,0.179077,0.177231,0.179077,0.183385,0.192,0.203692,0.219077,31,29,CL
57,0.302769,0.276923,0.254769,0.236308,0.220923,0.208615,0.198769,0.191385,0.187692,0.185846,0.187692,0.192615,0.201231,0.214154,0.230154,31,29,CL
58,0.324923,0.297231,0.273231,0.252308,0.235692,0.222154,0.211692,0.204308,0.199385,0.198154,0.2,0.205538,0.214769,0.227692,0.244923,31,29,CL
59,0.349538,0.321846,0.296,0.273231,0.255385,0.24,0.228308,0.220308,0.216,0.214154,0.216615,0.222769,0.232615,0.246154,0.264615,31,29,CL
60,0.248615,0.243692,0.24,0.237538,0.235692,0.234462,0.234462,0.235692,0.237538,0.240615,0.244308,0.248615,0.253538,0.260308,0.267692,31,29,CL
61,0.246154,0.24,0.235077,0.231385,0.228308,0.227077,0.226462,0.227077,0.228308,0.231385,0.235077,0.239385,0.244923,0.251692,0.259692,31,29,CL
62,0.243692,0.236308,0.230154,0.225231,0.221538,0.218462,0.217231,0.217231,0.218462,0.221538,0.225231,0.230154,0.236308,0.243692,0.251692,31,29,CL
63,0.241231,0.232615,0.225231,0.219692,0.214769,0.211077,0.208615,0.208,0.208615,0.210462,0.214154,0.219077,0.225846,0.234462,0.243692,31,29,CL
64,0.24,0.229538,0.221538,0.214154,0.208615,0.203692,0.200615,0.198769,0.198769,0.200615,0.203692,0.209231,0.216,0.224615,0.235077,31,29,CL
65,0.239385,0.227692,0.217846,0.209846,0.203077,0.196923,0.192615,0.190154,0.188923,0.190154,0.193231,0.198769,0.206154,0.215385,0.226462,31,29,CL
66,0.24,0.227077,0.216,0.206769,0.198154,0.191385,0.185846,0.182769,0.180923,0.181538,0.184,0.189538,0.196923,0.207385,0.219077,31,29,CL
67,0.243077,0.228308,0.216,0.204923,0.195692,0.187692,0.181538,0.177231,0.175385,0.175385,0.177846,0.182154,0.189538,0.2,0.212923,31,29,CL
